job_id,user_id,printer_id,print_time,page_count,duplex,color,paper_size,document_type,cost
JOB0001,USR069,PRN024,"2024-01-01 20:12:00",34,1,1,A4,invoice,4.93
JOB0002,USR102,PRN009,"2024-01-02 23:37:00",13,0,1,Letter,blueprint,7.49
JOB0003,USR260,PRN022,"2024-01-03 00:22:00",22,0,0,Letter,blueprint,3.97
JOB0004,USR126,PRN016,"2024-01-03 01:00:00",21,0,1,A3,report,5.75
JOB0005,USR204,PRN019,"2024-01-03 01:15:00",43,1,0,Letter,brochure,5.74
JOB0006,USR076,PRN008,"2024-01-04 12:04:00",37,0,0,A4,brochure,5.9
JOB0007,USR100,PRN005,"2024-01-05 07:08:00",40,1,1,Letter,memo,7.71
JOB0008,USR109,PRN011,"2024-01-06 07:26:00",34,0,1,Letter,invoice,1.93
JOB0009,USR058,PRN015,"2024-01-08 13:31:00",14,1,1,A3,report,5.3
JOB0010,USR098,PRN005,"2024-01-09 03:59:00",24,1,1,Letter,brochure,2.98
JOB0011,USR034,PRN012,"2024-01-09 13:04:00",22,1,0,Letter,blueprint,6.21
JOB0012,USR104,PRN007,"2024-01-09 23:11:00",43,0,0,Letter,memo,3.66
JOB0013,USR057,PRN024,"2024-01-10 12:29:00",46,1,0,A4,blueprint,6.53
JOB0014,USR058,PRN025,"2024-01-13 02:58:00",4,0,0,A3,report,0.41
JOB0015,USR020,PRN015,"2024-01-13 20:32:00",34,1,0,A3,contract,1.98
JOB0016,USR228,PRN007,"2024-01-14 03:15:00",42,0,0,A4,technical_spec,8.52
JOB0017,USR097,PRN025,"2024-01-14 06:30:00",45,0,1,A4,report,3.01
JOB0018,USR107,PRN024,"2024-01-14 10:15:00",6,0,0,A3,report,7.68
JOB0019,USR307,PRN011,"2024-01-14 13:19:00",16,0,0,A3,blueprint,1.57
JOB0020,USR254,PRN016,"2024-01-16 07:13:00",48,0,1,A3,contract,6.57
JOB0021,USR241,PRN020,"2024-01-16 07:32:00",33,0,0,A4,report,6.21
JOB0022,USR106,PRN004,"2024-01-18 04:15:00",32,1,0,A3,contract,2.51
JOB0023,USR215,PRN014,"2024-01-19 06:27:00",47,0,1,Letter,blueprint,2.04
JOB0024,USR098,PRN005,"2024-01-19 23:18:00",28,0,0,Letter,brochure,3.86
JOB0025,USR090,PRN004,"2024-01-20 03:56:00",32,1,1,Letter,technical_spec,2.81
JOB0026,USR163,PRN019,"2024-01-20 04:46:00",31,0,0,Letter,brochure,9.75
JOB0027,USR087,PRN004,"2024-01-20 19:27:00",27,0,0,A3,report,8.14
JOB0028,USR155,PRN023,"2024-01-21 03:30:00",18,0,0,A4,invoice,6.14
JOB0029,USR052,PRN016,"2024-01-21 19:39:00",22,1,0,Letter,blueprint,5.7
JOB0030,USR326,PRN008,"2024-01-21 21:17:00",13,1,1,A4,presentation,0.72
JOB0031,USR138,PRN020,"2024-01-23 01:28:00",42,1,1,Letter,technical_spec,5.88
JOB0032,USR270,PRN018,"2024-01-23 13:54:00",50,1,1,A3,memo,0.25
JOB0033,USR040,PRN010,"2024-01-25 11:02:00",14,1,0,A3,technical_spec,6.99
JOB0034,USR310,PRN006,"2024-01-25 12:04:00",12,1,1,A3,contract,9.71
JOB0035,USR301,PRN017,"2024-01-25 13:41:00",46,0,0,Letter,report,2.29
JOB0036,USR255,PRN008,"2024-01-25 17:23:00",34,0,1,Letter,technical_spec,7.8
JOB0037,USR278,PRN013,"2024-01-26 02:04:00",47,1,1,Letter,presentation,3.35
JOB0038,USR043,PRN017,"2024-01-27 16:53:00",16,1,0,A4,blueprint,9.02
JOB0039,USR249,PRN009,"2024-01-28 23:12:00",12,1,0,Letter,contract,2.6
JOB0040,USR298,PRN016,"2024-01-30 15:37:00",29,0,1,A3,contract,3.08
JOB0041,USR062,PRN008,"2024-02-01 10:59:00",24,0,1,A3,technical_spec,8.19
JOB0042,USR276,PRN014,"2024-02-01 15:34:00",47,0,1,A4,memo,2.35
JOB0043,USR014,PRN004,"2024-02-01 20:38:00",5,1,1,A3,contract,1.54
JOB0044,USR135,PRN018,"2024-02-03 17:28:00",20,1,0,A4,memo,3.74
JOB0045,USR246,PRN019,"2024-02-03 21:38:00",32,1,1,Letter,memo,2.9
JOB0046,USR218,PRN016,"2024-02-05 09:47:00",37,1,0,A3,technical_spec,3.23
JOB0047,USR089,PRN017,"2024-02-07 10:59:00",37,1,1,Letter,contract,9.99
JOB0048,USR173,PRN021,"2024-02-09 01:05:00",3,0,0,Letter,brochure,6.73
JOB0049,USR291,PRN016,"2024-02-10 06:31:00",30,0,0,Letter,memo,0.65
JOB0050,USR068,PRN023,"2024-02-10 21:35:00",44,1,0,Letter,memo,9.62
JOB0051,USR300,PRN002,"2024-02-11 03:33:00",19,1,0,A4,invoice,6.47
JOB0052,USR114,PRN015,"2024-02-11 16:48:00",12,0,1,A4,technical_spec,4.4
JOB0053,USR053,PRN023,"2024-02-12 03:59:00",5,1,0,A3,report,2.79
JOB0054,USR218,PRN016,"2024-02-13 01:52:00",30,0,0,Letter,presentation,2.37
JOB0055,USR112,PRN025,"2024-02-13 02:29:00",32,1,1,A3,contract,3.98
JOB0056,USR230,PRN019,"2024-02-13 07:03:00",2,1,1,A3,presentation,8.05
JOB0057,USR195,PRN023,"2024-02-16 06:35:00",33,1,0,A3,brochure,5.96
JOB0058,USR061,PRN025,"2024-02-16 08:49:00",36,1,0,A3,technical_spec,5.9
JOB0059,USR276,PRN024,"2024-02-17 03:36:00",4,0,1,A3,presentation,3.31
JOB0060,USR071,PRN017,"2024-02-17 11:42:00",18,1,1,A4,presentation,7.13
JOB0061,USR308,PRN003,"2024-02-19 06:04:00",4,0,1,Letter,invoice,3.76
JOB0062,USR026,PRN018,"2024-02-19 21:58:00",16,1,1,A3,presentation,6.31
JOB0063,USR059,PRN001,"2024-02-20 04:29:00",22,0,0,A4,technical_spec,7.04
JOB0064,USR256,PRN005,"2024-02-20 17:12:00",29,0,1,A3,report,0.75
JOB0065,USR243,PRN008,"2024-02-20 18:30:00",20,0,1,A3,contract,6.63
JOB0066,USR157,PRN021,"2024-02-20 23:50:00",45,0,0,A3,brochure,9.19
JOB0067,USR329,PRN025,"2024-02-21 17:39:00",26,0,0,A4,blueprint,1.76
JOB0068,USR277,PRN014,"2024-02-22 07:22:00",23,0,1,Letter,brochure,5.83
JOB0069,USR253,PRN013,"2024-02-23 07:23:00",29,1,0,A4,blueprint,9.51
JOB0070,USR015,PRN014,"2024-02-23 21:03:00",1,0,1,A3,presentation,3.46
JOB0071,USR319,PRN011,"2024-02-23 21:22:00",40,1,0,A3,technical_spec,5.99
JOB0072,USR119,PRN005,"2024-02-27 11:07:00",11,0,0,Letter,contract,6.51
JOB0073,USR027,PRN009,"2024-02-27 19:51:00",25,0,1,A3,brochure,2.7
JOB0074,USR192,PRN025,"2024-02-28 12:35:00",26,1,0,A4,memo,1.81
JOB0075,USR081,PRN023,"2024-02-28 14:46:00",4,1,1,A3,technical_spec,2.41
JOB0076,USR120,PRN022,"2024-02-28 20:02:00",37,1,1,A3,report,7.29
JOB0077,USR074,PRN005,"2024-02-28 22:20:00",30,0,1,Letter,memo,4.49
JOB0078,USR068,PRN023,"2024-02-29 06:31:00",29,0,1,Letter,brochure,1.48
JOB0079,USR051,PRN015,"2024-02-29 10:26:00",6,0,0,Letter,technical_spec,7.11
JOB0080,USR249,PRN009,"2024-03-02 04:41:00",42,0,0,Letter,report,7.34
JOB0081,USR295,PRN012,"2024-03-02 11:49:00",1,1,0,Letter,presentation,3.42
JOB0082,USR061,PRN005,"2024-03-02 15:47:00",48,1,1,A4,technical_spec,9.6
JOB0083,USR042,PRN014,"2024-03-02 15:56:00",8,0,1,A3,memo,4.73
JOB0084,USR313,PRN021,"2024-03-03 15:27:00",29,0,0,A4,invoice,4.25
JOB0085,USR234,PRN016,"2024-03-06 10:00:00",27,0,0,A3,presentation,5.91
JOB0086,USR115,PRN019,"2024-03-06 20:54:00",15,1,0,Letter,memo,10
JOB0087,USR284,PRN004,"2024-03-06 23:02:00",43,0,0,A3,technical_spec,4.16
JOB0088,USR129,PRN006,"2024-03-08 03:21:00",20,0,1,Letter,memo,9.25
JOB0089,USR304,PRN005,"2024-03-11 17:00:00",32,1,0,A4,blueprint,9.9
JOB0090,USR252,PRN021,"2024-03-12 07:40:00",42,0,1,A3,invoice,7.94
JOB0091,USR140,PRN020,"2024-03-12 19:03:00",48,0,1,A4,brochure,0.63
JOB0092,USR038,PRN016,"2024-03-13 00:14:00",34,0,1,A4,invoice,6.76
JOB0093,USR282,PRN007,"2024-03-14 03:44:00",50,1,0,Letter,report,6.82
JOB0094,USR261,PRN002,"2024-03-14 22:14:00",38,1,0,Letter,memo,0.82
JOB0095,USR154,PRN021,"2024-03-16 05:06:00",15,1,1,Letter,brochure,0.59
JOB0096,USR077,PRN015,"2024-03-16 06:12:00",5,0,1,A4,blueprint,4.7
JOB0097,USR253,PRN013,"2024-03-16 14:52:00",11,1,1,A4,report,1.48
JOB0098,USR059,PRN001,"2024-03-17 00:41:00",1,1,0,A4,contract,1.62
JOB0099,USR203,PRN015,"2024-03-17 02:15:00",37,1,0,A4,technical_spec,3.03
JOB0100,USR269,PRN019,"2024-03-17 20:34:00",5,1,0,A4,contract,9.85
JOB0101,USR068,PRN003,"2024-03-17 05:07:21",341,1,0,Letter,memo,2.22
JOB0102,USR204,PRN019,"2024-03-18 05:07:21",184,1,1,Letter,contract,12.22
JOB0103,USR213,PRN018,"2024-03-18 09:25:22",121,0,0,Letter,report,5.77
JOB0104,USR153,PRN016,"2024-03-18 11:32:42",114,1,0,A4,brochure,5.55
JOB0105,USR137,PRN006,"2024-03-18 14:56:48",34,1,1,Letter,report,19.33
JOB0106,USR055,PRN014,"2024-03-18 15:43:45",378,1,0,Letter,contract,4.67
JOB0107,USR313,PRN011,"2024-03-18 16:59:54",31,1,1,A3,report,7.4
JOB0108,USR077,PRN005,"2024-03-18 21:48:23",60,1,1,A4,blueprint,7.52
JOB0109,USR321,PRN021,"2024-03-18 23:25:55",351,1,1,A3,invoice,4.89
JOB0110,USR173,PRN011,"2024-03-19 02:00:11",396,0,1,A3,memo,9.72
JOB0111,USR047,PRN009,"2024-03-19 04:05:51",47,1,1,Letter,invoice,5.38
JOB0112,USR165,PRN025,"2024-03-19 07:47:32",257,1,0,A3,memo,1.55
JOB0113,USR103,PRN008,"2024-03-19 08:38:18",203,0,1,A4,blueprint,13.35
JOB0114,USR295,PRN022,"2024-03-19 16:22:30",176,1,0,Letter,technical_spec,3.65
JOB0115,USR298,PRN016,"2024-03-19 17:25:41",340,1,0,Letter,invoice,13.7
JOB0116,USR155,PRN013,"2024-03-19 18:07:44",360,0,1,A3,memo,4.46
JOB0117,USR292,PRN016,"2024-03-19 19:49:30",28,0,0,A4,brochure,5.35
JOB0118,USR049,PRN022,"2024-03-19 20:21:28",44,0,0,A3,contract,12.4
JOB0119,USR072,PRN019,"2024-03-19 20:21:43",371,0,0,A4,memo,8.76
JOB0120,USR100,PRN005,"2024-03-19 21:14:26",49,0,0,Letter,blueprint,4.59
JOB0121,USR239,PRN014,"2024-03-19 22:47:28",48,0,1,A3,brochure,1.45
JOB0122,USR068,PRN003,"2024-03-20 01:03:16",41,1,1,A3,contract,15.43
JOB0123,USR035,PRN017,"2024-03-20 01:58:42",345,0,1,Letter,technical_spec,11.99
JOB0124,USR258,PRN022,"2024-03-20 03:26:06",148,0,0,A3,memo,13.27
JOB0125,USR062,PRN018,"2024-03-20 04:55:30",140,1,0,Letter,blueprint,17.73
JOB0126,USR278,PRN013,"2024-03-20 07:45:17",288,0,1,A3,invoice,11.69
JOB0127,USR021,PRN006,"2024-03-20 08:10:30",74,1,1,A3,report,9
JOB0128,USR194,PRN003,"2024-03-20 08:18:16",26,1,1,A4,technical_spec,19.44
JOB0129,USR094,PRN006,"2024-03-20 11:10:26",336,0,0,Letter,invoice,9.72
JOB0130,USR012,PRN013,"2024-03-21 00:19:55",366,0,1,A3,technical_spec,19.12
JOB0131,USR184,PRN006,"2024-03-21 03:01:27",142,1,0,A3,technical_spec,16.77
